212	http://www.menupages.com/restaurants/212/menu	Penne Alla Stolichnaya	Penne Alla Stolichnaya served with light pink vodka sauce	15.95
212	http://www.menupages.com/restaurants/212/menu	Truffle Pizzetta	Truffle Pizzetta ricotta cheese mixed mushrooms and truffle oil	
212	http://www.menupages.com/restaurants/212/menu	Parma Pizzetta	Parma Pizzetta brie cheese figs confit and prosciutto parma	
212	http://www.menupages.com/restaurants/212/menu	Provencale Pizzetta	Provencale Pizzetta ricotta cheese artichokes and nicoise olives	
212	http://www.menupages.com/restaurants/212/menu	Margherita Pizzetta	Margherita Pizzetta buffalo mozzarella fresh tomatoes and basil	
212	http://www.menupages.com/restaurants/212/menu	Side Sauteed Spinach	Side Sauteed Spinach	
212	http://www.menupages.com/restaurants/212/menu	Side Asparagus	Side Asparagus	
212	http://www.menupages.com/restaurants/212/menu	Side French Fries	Side French Fries	
212	http://www.menupages.com/restaurants/212/menu	Warm Chocolate Fondant	Warm Chocolate Fondant with espresso ice cream	5.50
212	http://www.menupages.com/restaurants/212/menu	Creme Brul eacute	Creme Brul eacute with mixed berries	5.50
212	http://www.menupages.com/restaurants/212/menu	Vanilla Bean Panna Cotta	Vanilla Bean Panna Cotta	5.95
212	http://www.menupages.com/restaurants/212/menu	Nutella eacute pes	Nutella eacute pes with dulce leche ice cream	5.50
212	http://www.menupages.com/restaurants/212/menu	Strawberry Tart	Strawberry Tart	5.50
212	http://www.menupages.com/restaurants/212/menu	Mini Doughnuts	Mini Doughnuts served with espresso and chocolate milk dipping sauce	5.95
212	http://www.menupages.com/restaurants/212/menu	Soda	Soda soda choice coke diet coke	1.50
212	http://www.menupages.com/restaurants/212/menu	San Pellegrino	San Pellegrino	&#40;1&#47;2 btl&#41;1.50
212	http://www.menupages.com/restaurants/212/menu	Cold Cappuccino	Cold Cappuccino	3.50
212	http://www.menupages.com/restaurants/212/menu	Cold Cafe Latte	Cold Cafe Latte	3.50
212	http://www.menupages.com/restaurants/212/menu	Herbal Tea	Herbal Tea tea selection english breakfast earl grey mint chamomile	2.50
212	http://www.menupages.com/restaurants/212/menu	Panna Water	Panna Water	&#40;1&#47;2 btl&#41;1.50
212	http://www.menupages.com/restaurants/212/menu	Hot Cappuccino	Hot Cappuccino	3.50
212	http://www.menupages.com/restaurants/212/menu	Hot Cafe Latte	Hot Cafe Latte	3.50
212	http://www.menupages.com/restaurants/212/menu	Hot Chocolate	Hot Chocolate	3.25
212	http://www.menupages.com/restaurants/212/menu	American Coffee	American Coffee	2.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	The Continental	The Continental choice fruit juice toast english muffin roll coffee tea milk	5.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	The Continental	The Continental choice fruit juice danish croissant coffee tea milk	5.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Low Calorie Breakfast	Low Calorie Breakfast orange juice special cereal one poached egg one slice toast coffee	9.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Sunnyside	Sunnyside cereal with banana one egg toast coffee	8.35
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Eggs Benedict	Eggs Benedict layered english muffins canadian bacon and poached eggs topped with our own hollandaise sauce	12.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Banana Walnut Chocolate Chip Blueberry Pancakes	Banana Walnut Chocolate Chip Blueberry Pancakes batter stuffed with fresh bananas and walnuts blueberries chocolate chips	12.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Fresh Vegetable Omelette	Fresh Vegetable Omelette three egg omelette stuffed with fresh broccoli and cauliflower and topped with swiss cheese	12.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Lox Platter	Lox Platter toasted bagel covered with cream cheese topped with nova scotia lox lettuce and tomatoes	15.00
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	All Above Served With Either Choice Juice Orange Grapefruit Tomato Choice Fruit Salad Melon Half Grapefruit Choice Coffee Tea Milk	colspan cite All Above Served With Either Choice Juice Orange Grapefruit Tomato Choice Fruit Salad Melon Half Grapefruit Choice Coffee Tea Milk	-1
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	One Egg With Ham Bacon Sausage	One Egg With Ham Bacon Sausage roll toast with butter amp jelly coffee tea milk	8.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Two Eggs With Ham Bacon Sausage	Two Eggs With Ham Bacon Sausage roll toast with butter amp jelly coffee tea milk	8.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	One Egg	One Egg cooked your favorite way roll toast with butter amp jelly coffee tea milk	6.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Two Eggs	Two Eggs cook your favorite way roll toast with butter amp jelly coffee tea milk	6.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Lox Eggs amp Onions	Lox Eggs amp Onions roll toast with butter amp jelly coffee tea milk	12.95
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Corned Beef Hash	Corned Beef Hash topped with one poached egg roll toast with butter amp jelly coffee tea milk	9.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Golden Brown Pancakes	Golden Brown Pancakes with butter amp syrup coffee tea milk	7.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Pancakes With Ham Bacon Sausage	Pancakes With Ham Bacon Sausage syrup amp butter coffee tea milk	9.50
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Cream Cheese With Vegetables	Cream Cheese With Vegetables coffee tea milk	7.75
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Golden Brown Crisp Waffle	Golden Brown Crisp Waffle with butter amp syrup coffee tea milk	10.25
Cafe Edison	http://www.menupages.com/restaurants/cafe-edison/menu	Waffle With Ham Bacon Sausage	Waffle With Ham Bacon Sausage with butter amp syrup coffee tea milk	12.25
